Deficiencia ,URL
General,"https://www.portalfruticola.com/noticias/2019/03/08/guia-de-sintomas-de-deficiencias-de-micronutrientes-en-las-plantas/
https://acuariosleuka.es/blog/wp-content/uploads/2017/09/1446110328-1024x741.png"
Nitrogeno,"https://www.thedailygarden.us/garden-word-of-the-day/nitrogen
"
Azufre,"https://www.ilovegrowingmarijuana.com/wp-content/uploads/2014/07/how-to-fix-sulfur-deficiency-marijuana.jpg
"
FÃ³sforo,"https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.royalqueenseeds.com%2Fblog-phosphorus-deficiency-in-cannabis-plants-n594&psig=AOvVaw1I0eUvo44kHwSGaPeDLLtK&ust=1586563051247000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCOC777jG3OgCFQAAAAAdAAAAABAc 
"
Silicio,"No data
"
Boro,"http://www.eplants.com.au/boron-deficiency  
https://www.google.com/url?sa=i&url=https%3A%2F%2Fhydrobuilder.com%2Flearn%2Fboron-b-nutrient-deficiencies%2F&psig=AOvVaw0kCAZkvP427sQqv3vG16el&ust=1586565483007000&source=images&cd=vfe&ved=0CAIQjRxqGAoTCJDjy5XP3OgCFQAAAAAdAAAAABCEAQ"
Hierro,https://saltonverde.com/sintomas-y-solucion-para-el-exceso-o-deficiencia-de-hierro-fe-en-las-plantas-de-cannabis/#acceptLicense
Magnesio,"https://saltonverde.com/sintomas-y-solucion-para-el-exceso-o-deficiencia-de-magnesio-mg-en-las-plantas-de-cannabis/ 
https://lh3.googleusercontent.com/proxy/ooY9VJZiaTwD187negTmX5JDA2cnN9RU6YEoeyCqHLmqN3Yt2GvPLnqJIrkxxX4xu7LQF4u7BQCKoXJx4Hsko1evO0Hp7tfzFq736gGMkX9ed8A3gaep8WeZal00NAyn4Net3KM 
http://blog.agrologica.es/wp-content/uploads/2012/11/carencia-magnesio-300x225.jpg 
"
Cobre,https://saltonverde.com/sintomas-y-solucion-para-el-exceso-o-deficiencia-de-cobre-cu-en-las-plantas-de-cannabis/
Nickel,https://www.pthorticulture.com/es/centro-de-formacion/rol-del-niquel-en-el-cultivo-de-plantas/
Molibdeno,https://saltonverde.com/sintomas-y-solucion-para-el-exceso-o-deficiencia-de-molibdeno-mo-en-las-plantas-de-cannabis/
Potasio,https://image.slidesharecdn.com/sintomasysignos2010972003-100816233712-phpapp02/95/sintomas-y-signos-2010-97-2003-13-728.jpg?cb=1282002859
Cloro,"https://saltonverde.com/wp-content/uploads/2019/02/cloro-enfermedades-cannabis-salton-verde_imagen_02.jpg
https://saltonverde.com/wp-content/uploads/2019/02/cloro-enfermedades-cannabis-salton-verde_imagen_03.jpg
"
Calcio,https://www.pthorticulture.com/media/1646/ca-def-point3-paul-ecke-ranch.jpg?width=311&height=209
Zinc,"https://www.intagri.com/assets/images/articulos/categoria1/2nutricion%20vegetal/art128-nutricion-zinc/deficiencia-Zn.jpg
https://www.fertilab.com.mx/Sitio/img/Notas_Tecnicas/Los-Tipos-de-Sintomas-de-Deficiencia-de-Zinc-en-los-Cultivos.jpg
https://www.coial.org/wp-content/uploads/2019/04/CARENCIA-DE-MANGANESO-EN-C%C3%8DTRICOS.jpeg
"
Sodio,"https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Ridderzuring_bladvlekkenziekte_%28Rumex_obtusifolius_with_leaf_spot%29.jpg/1200px-Ridderzuring_bladvlekkenziekte_%28Rumex_obtusifolius_with_leaf_spot%29.jpg
https://i1.wp.com/succulentavenue.com/wp-content/uploads/2019/02/Por-qu%C3%A9-las-hojas-amarillas-en-las-plantas-7-razones.-e1551183260896.jpg?resize=500%2C500&ssl=1"
manganeso,https://personalgardenshopper.es/carencia-de-nutrientes-plantas/#Carencia_de_Manganeso_Mn